X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-85.789902,38.229881,2399,Ali's Food Mart 1,1444 Dixie Hwy,,Louisville,KY,40210,1770,JEFFERSON,-85.789902,38.229881
-85.768791,38.227348,4540,Duramart,1480 S 7th St,,Louisville,KY,40208,2257,JEFFERSON,-85.768791,38.227348
-85.759903,38.237568,4918,Z & H Smokers Llc,1032 S 4th St,,Louisville,KY,40203,3208,JEFFERSON,-85.759903,38.237568
-85.780426,38.248817,5154,Shorty's Food Mart 4,1711 W Broadway,,Louisville,KY,40203,3519,JEFFERSON,-85.780426,38.248817
-85.765488,38.205559,8901,Teranga African Market Llc,3027 S 4th St,Ste A,Louisville,KY,40208,1335,JEFFERSON,-85.765488,38.205559
-85.772705,38.247684,9699,Family Dollar Store 11504,1234 W Broadway,,Louisville,KY,40203,2062,JEFFERSON,-85.772705,38.247684
-85.783699,38.266605,11675,Family Dollar Store 10270,2124 Bank St,,Louisville,KY,40212,1209,JEFFERSON,-85.783699,38.266605
-85.790512,38.2281,14938,Thorntons 93,1501 Dixie Hwy,,Louisville,KY,40210,1743,JEFFERSON,-85.790512,38.2281
-85.783264,38.214489,19267,La Popular Llc,2521 7th Street Rd,D,Louisville,KY,40208,1082,JEFFERSON,-85.783264,38.214489
-85.760117,38.235924,19482,Brothers Food Mart,1163 S 4th St,,Louisville,KY,40203,3101,JEFFERSON,-85.760117,38.235924
-85.799011,38.249683,24112,DEALS 4601,2815 W Broadway,,Louisville,KY,40211,1218,JEFFERSON,-85.799011,38.249683
-85.814919,38.250156,24160,Food Mart Express Llc,3727 W Broadway,,Louisville,KY,40211,2869,JEFFERSON,-85.814919,38.250156
-85.795052,38.271015,24438,Sam Food Mart Llc,2749 Bank St,,Louisville,KY,40212,2021,JEFFERSON,-85.795052,38.271015
-85.760544,38.234055,26094,Puritens Mart,1244 South 4th Street,,Louisville,KY,40203,3051,JEFFERSON,-85.760544,38.234055
-85.787064,38.270248,26643,In-n-out Dairy & Bait Shop Llc,2329 Portland Ave,,Louisville,KY,40212,1078,JEFFERSON,-85.787064,38.270248
-85.775826,38.206589,28748,Taylor Blvd Valero,3039 Taylor Blvd,,Louisville,KY,40208,1174,JEFFERSON,-85.775826,38.206589
-85.777901,38.257587,33439,Dollar General 13244,1631 W Market St,,Louisville,KY,40203,1335,JEFFERSON,-85.777901,38.257587
-85.760475,38.235092,34700,RITE AID #4629,409 W Oak St,,Louisville,KY,40203,3001,JEFFERSON,-85.760475,38.235092
-85.765228,38.245327,38921,World Food Market Inc,737 S 8th St,,Louisville,KY,40203,2022,JEFFERSON,-85.765228,38.245327
-85.80777,38.225971,43117,Family Dollar Store 8696,3036 Wilson Ave,,Louisville,KY,40211,1970,JEFFERSON,-85.80777,38.225971
-85.786751,38.237335,43602,Dollar General 15669,1201 Dixie Hwy,,Louisville,KY,40210,1405,JEFFERSON,-85.786751,38.237335
-85.806526,38.260857,48180,Pmg Enterprises Inc N/A,3320 W Market St,,Louisville,KY,40212,2233,JEFFERSON,-85.806526,38.260857
-85.776352,38.248203,49671,Expressway Mart,1420 W Broadway,,Louisville,KY,40203,2060,JEFFERSON,-85.776352,38.248203
-85.809662,38.249924,54461,Walgreens 15183,3410 W Broadway,,Louisville,KY,40211,2824,JEFFERSON,-85.809662,38.249924
-85.788025,38.271721,56264,Kentucky Convenient Store,631 N 25th St,,Louisville,KY,40212,1059,JEFFERSON,-85.788025,38.271721
-85.752777,38.215237,57036,Speedway 9391,2210 Arthur St,,Louisville,KY,40208,2733,JEFFERSON,-85.752777,38.215237
-85.812309,38.261547,60825,H & M FOOD MART,3801 W Market St,,Louisville,KY,40212,2536,JEFFERSON,-85.812309,38.261547
-85.768471,38.247169,61817,Tnk Liquor & Grocery Store,1001 W Broadway,,Louisville,KY,40203,2030,JEFFERSON,-85.768471,38.247169
-85.803673,38.231815,70090,Macs Food Mart,1500 Hemlock St,,Louisville,KY,40211,1720,JEFFERSON,-85.803673,38.231815
-85.768715,38.210808,70682,Family Dollar Store 9199,611 Winkler Ave,,Louisville,KY,40208,1553,JEFFERSON,-85.768715,38.210808
-85.751434,38.245571,71573,Walgreens 09005,200 E Broadway,,Louisville,KY,40202,2008,JEFFERSON,-85.751434,38.245571
-85.780197,38.256073,72115,Best Enterprise Llc,301 S 18th St,,Louisville,KY,40203,1619,JEFFERSON,-85.780197,38.256073
-85.765305,38.235443,72244,Mym&z Inc,700 W Oak St,,Louisville,KY,40203,3128,JEFFERSON,-85.765305,38.235443
-85.795906,38.259724,77641,DAIRY MART #3282,2728 W Market St,,Louisville,KY,40212,1845,JEFFERSON,-85.795906,38.259724
-85.820755,38.250282,84136,BROADWAY FOOD MART,4132 W Broadway,,Louisville,KY,40211,3171,JEFFERSON,-85.820755,38.250282
-85.809982,38.224426,85022,Ayman Llc,3300 Algonquin Pkwy,,Louisville,KY,40211,1911,JEFFERSON,-85.809982,38.224426
-85.791069,38.259258,87559,Family Dollar 11859,2421 W Market St,,Louisville,KY,40212,1538,JEFFERSON,-85.791069,38.259258
-85.758873,38.233379,92057,Hillebrand Market,1235 S 3rd St,,Louisville,KY,40203,2953,JEFFERSON,-85.758873,38.233379
-85.784706,38.242325,96979,SHORTYS FOOD MART 1,931 Dixie Hwy,,Louisville,KY,40210,1226,JEFFERSON,-85.784706,38.242325
-85.765457,38.206066,115975,Rpv Enterprises Inc.,3004 S 4th St,,Louisville,KY,40208,1306,JEFFERSON,-85.765457,38.206066
-85.818832,38.257923,116708,Kader's Supermarket 2,4100 W Muhammad Ali Blvd,,Louisville,KY,40212,2438,JEFFERSON,-85.818832,38.257923
-85.796188,38.239082,118687,Day And Night Mini Mart,2600 Hale Ave,,Louisville,KY,40211,1236,JEFFERSON,-85.796188,38.239082
-85.795372,38.249527,120011,Dina Llc Dba Dino's Food Mart,2601 W Broadway,,Louisville,KY,40211,1332,JEFFERSON,-85.795372,38.249527
-85.750397,38.234146,121704,OAK STREET FOODMART,331 E Oak St,,Louisville,KY,40203,2727,JEFFERSON,-85.750397,38.234146
-85.813881,38.261856,122152,Family Dollar 11491,3901 W Market St,,Louisville,KY,40212,2538,JEFFERSON,-85.813881,38.261856
-85.797401,38.249542,123068,KROGER #L-00327 L327,2710 W Broadway,,Louisville,KY,40211,1320,JEFFERSON,-85.797401,38.249542
-85.799141,38.274326,123666,CVS Pharmacy 6199,3130 Portland Ave,,Louisville,KY,40212,1140,JEFFERSON,-85.799141,38.274326
-85.765053,38.207851,124835,Alfa Super Market & Cafe,2833 S 4th St,,Louisville,KY,40208,1337,JEFFERSON,-85.765053,38.207851
-85.773415,38.213848,129266,Sankalp Food LLC,1100 Algonquin Pkwy,,Louisville,KY,40208,1620,JEFFERSON,-85.773415,38.213848
-85.757286,38.25108,130058,CVS PHARMACY 6210,340 W Muhammad Ali Blvd,,Louisville,KY,40202,2506,JEFFERSON,-85.757286,38.25108
-85.757591,38.250305,130794,Brian's Deli,531 S 4th St,,Louisville,KY,40202,2503,JEFFERSON,-85.757591,38.250305
-85.793808,38.260017,132196,Roof Llc,118 S 26th St,,Louisville,KY,40212,1500,JEFFERSON,-85.793808,38.260017
-85.797432,38.273693,132574,Family Dollar Store 750,3022 Portland Ave,,Louisville,KY,40212,1138,JEFFERSON,-85.797432,38.273693
-85.809357,38.250015,132576,Family Dollar Store 912,3421 W Broadway,,Louisville,KY,40211,2872,JEFFERSON,-85.809357,38.250015
